pid,label,Artista principal,Colaborador principal,Productor,Género,Año de lanzamiento,Disquera,País de origen,Número de canciones,Disponible en streaming
sonoraponcena-1987-backtowork,Back to work,Sonora Ponceña,"Manuel Martínez Roldán ""Manix"" ; Alberto A. Ledée ""Toñito"" ; Héctor Pérez ""Pichy"" ; Danny Dávila",Papo Lucca,Salsa,1987,INCA Records,Puerto Rico,8,Sí
chicobuarque-1971-construcao,Construção,Chico Buarque,Tom Jobim ; Paulinho Jobim ; MPB4,Roberto Menescal,MPB,1971,Philips,Brasil,10,Sí
diomedesdiaz-1992-elregresodelcondor,El regreso del cóndor,Diomedes Díaz,Juancho Rois,Alberto Nieto,Vallenato,1992,Columbia / Sony Music,Colombia,11,Sí
sonoraponcena-1984-future,Future,Sonora Ponceña,"Alberto A. Ledée ""Toñito"" ; Miguelito Ortiz ; Héctor Pérez ""Pichy""",Papo Lucca,Salsa,1984,INCA Records,Puerto Rico,8,Sí
jorgeonate-1986-jorgeonateahoraconalvarolopez,Jorge Oñate ahora con Álvaro López,Jorge Oñate,Álvaro López,Jaime Hernández T.,Vallenato,1986,CBS,Colombia,11,No
williecolon-1973-lomato,Lo mato,Willie Colón,Héctor Lavoe,Willie Colón ; Jerry Masucci,Salsa,1973,Fania Records,Estados Unidos,8,Sí
diomedesdiaz-1991-mividamusical,Mi vida musical,Diomedes Díaz,Juancho Rois,Alberto Nieto,Vallenato,1991,Columbia / Sony Music,Colombia,11,Sí
jorgeonate-1982-paisajedesol,Paisaje de sol,Jorge Oñate,Juancho Rois,Jaime Hernández,Vallenato,1982,CBS,Colombia,11,Sí
raybarreto-1979-ricanstruction,Rican/struction,Ray Barreto,Adalberto Santiago,Ray Barreto,Salsa,1979,Fania Records,Estados Unidos,7,Sí
diomedesdiaz-1993-titulodeamor,Título de amor,Diomedes Díaz,Juancho Rois,Alberto Nieto,Vallenato,1993,Columbia / Sony Music,Colombia,11,Sí
